region,ch_mort_rural,per_capita_cash_income,real_incomes,formal_wage_paid,real_pay,ch_mort_urban,total,18_30,31_40,41_50,51_60,60_,alco,drug,grp,all_some_tightness,all_large_tightness,total_area_for_person,living_area_for_person,living_room_count,cond_want_to_improve,improve_tightness,improve_bad_&_tightness_cond,new_born,population,poverty_percent,poverty_under_sixteen,poverty_above_working_age,poverty_working_age,manufacturing_industries_till_2016,energy_provision_till_2016,mining_till_2016,water_supply,mining,energy_provision,manufacturing_industries,industrial_production,retail_turnover,welfare_mean,Pergnancy_period,eye_diseases,muscul_&_connective_tissue_diseases,genitourinary_sys_diseases,nervous_sys_diseases,respiratory_diseases,digestive_sys_diseases,circulastory_sys_diseases,ear_diseases,endocrine_sys_diseases,malformations,all_diseases,infectious,neoplasms,perinatal_period,other_diseases,mental_diseases,injuries,area,population_density,population_general_growth,population_natural_growth,population_migration_growth,urban_population_share,rural_per_1000_city,migration_in,migration_out,new_born_for_1000
Самарская область,51.31578947368421,28243.0,96.21666666666668,32428.166666666668,101.14999999999999,228.81,210161.09375,8511.796875,14495.59375,20473.875,38955.4375,127724.390625,99.25,18.79,222191.0,16.7,3.7,24.6,16.9,2.4,14.2,7.0,0.3,33113.39,3188877.4,17.623076923076923,40.53333333333333,4.666666666666667,54.79999999999999,646450014.7233332,88296281.49499999,140649758.235,43516514.6225,321398093.875,127211276.0075,1077986398.2,1570112282.705,203803.375,22.0,17169.175,17990.291666666664,18897.933333333334,27129.375,12797.75,298855.05833333335,25276.183333333334,8637.475,16303.191666666666,6594.65,2777.666666666667,561918.5909090909,20189.7,4855.683333333333,4934.0666666666675,7719.875,3153.5916666666667,51337.16666666667,53.6,58.5,-22444.0,-30177.0,7733.0,20.34,2.15,71398.0,63665.0,10.384027306913712
Саратовская область,56.68421052631579,21397.5,99.13333333333333,26983.166666666668,101.88333333333333,211.22,135113.0625,6233.359375,9956.984375,13588.265625,24971.34375,80363.109375,103.03,7.38,140879.3,15.0,3.7,23.7,17.8,2.5,13.3,6.5,1.7,22393.992,2454140.0,24.03076923076923,39.56666666666666,6.633333333333333,53.833333333333336,201457771.28583333,72236255.24833333,17707827.7125,14753419.850000001,35468509.6,97675384.84,397223946.305,545121260.595,145571.875,25.0,17400.983333333334,17805.516666666666,16690.416666666664,22100.041666666668,11376.441666666666,215383.90833333333,17186.23333333333,10870.766666666666,13003.941666666666,8303.183333333334,3350.241666666667,440399.39924242423,15149.375,3039.208333333333,2808.1250000000005,13723.75,2647.3083333333334,36825.45833333333,101.2,23.3,-34152.0,-29979.0,-4173.0,24.15,1.62,50439.0,54612.0,9.124985534647575
Ульяновская область,28.736842105263158,23282.833333333332,96.45,27494.666666666668,101.10000000000001,114.41,110231.703125,4308.59375,7030.796875,9228.34375,20290.609375,69373.359375,146.13,16.12,138229.25,11.3,1.0,25.7,17.9,2.4,13.2,7.9,0.5,12077.797999999999,1245225.1,21.746153846153845,34.63333333333333,5.5,59.866666666666674,136119263.2775,20045433.276666667,7042442.875,9299930.025,10636486.84,27296490.200000003,276551226.4775,323784133.5425,150406.5,24.0,14647.366666666665,22022.875,20436.7,26620.025,15880.508333333335,258813.60833333334,19969.5,9853.158333333333,15311.825,8801.175000000001,2431.6833333333334,528677.8022727272,26333.700000000004,4999.675,5706.325,6130.575,2655.316666666667,48083.49166666667,37.2,32.4,-14350.0,-13725.0,-625.0,23.62,0.83,24279.0,24904.0,9.699288907684238
Курганская область,47.0,20773.833333333332,95.83333333333333,27134.166666666668,101.46666666666665,72.41,72633.921875,3026.421875,4957.421875,6345.546875,12059.234375,46245.296875,134.54,24.76,119218.7,10.5,3.9,23.0,16.7,2.4,26.1,5.7,0.9,8788.6,848021.1,29.700000000000003,39.56666666666666,4.566666666666666,55.9,58467254.14166666,15639197.663333332,1720030.7166666668,3600096.6575,3381283.325,20621190.39,112741248.485,140343818.85750002,135104.125,24.0,16114.241666666665,26288.833333333336,18760.691666666666,16800.966666666667,13577.48333333333,239994.775,29849.49166666667,10384.258333333333,10403.2,7826.916666666667,1003.6916666666667,514099.6143939394,21414.191666666666,2896.541666666667,2736.2916666666665,18774.3875,6231.9333333333325,51471.200000000004,71.5,11.3,-13060.0,-9378.0,-3682.0,37.48,0.55,26408.0,30090.0,10.363657225038386
Свердловская область,72.21052631578948,36207.333333333336,96.93333333333334,36702.833333333336,100.61666666666667,395.56,270684.375,13330.875,22355.484375,26713.9375,41738.234375,166545.84375,104.07,30.99,240022.08,15.2,3.7,22.8,15.8,2.2,15.1,7.7,0.5,50801.784,4312936.9,15.896153846153847,41.666666666666664,5.533333333333334,52.73333333333333,1033560634.8008332,136894694.525,52225982.925000004,72382575.44500001,82182147.125,244949710.18750003,1953744313.3975,2353258746.155,256127.375,21.0,18608.416666666664,17435.108333333334,13382.216666666665,16591.850000000002,10634.866666666667,206675.50833333333,15669.2,6530.325,12628.366666666669,4999.450000000001,739.825,409774.8628787879,18670.066666666666,2855.8,4599.591666666667,6514.3,2519.016666666667,41612.149999999994,194.3,21.9,-25727.0,-33773.0,8046.0,14.81,2.93,102670.0,94624.0,11.778930500930814
Ханты-Мансийский автономный округ - Югра (Тюменская область),13.222222222222221,50059.5,99.86666666666666,69360.0,99.68333333333334,153.84,50920.234375,3967.859375,5727.15625,6423.5625,11219.8125,23581.84375,121.93,25.13,880545.55,15.4,3.5,22.2,13.9,2.1,17.3,7.3,0.6,22571.4,1644965.9,7.8307692307692305,43.76666666666667,6.2,49.96666666666667,206268934.2658333,153446682.56,2060877262.676667,23989538.15,3320220987.4500003,220242182.79999998,618836550.8924999,4183289259.2925005,247369.625,15.0,17972.916666666668,18270.05,16830.183333333334,23168.93333333333,10649.55,242617.60000000003,23406.233333333334,7240.083333333334,11209.083333333336,6291.325,1078.9499999999998,482535.16893939395,22768.266666666666,3427.5166666666664,3922.15,5899.85,2246.4833333333336,51341.299999999996,534.8,3.2,14586.0,5254.0,9332.0,7.28,1.17,74378.0,65046.0,13.721500245081069
Ямало-Ненецкий автономный округ (Тюменская область),31.894736842105264,78070.5,102.16666666666667,93313.33333333333,102.5,54.53,13647.4375,1270.984375,1444.984375,1734.6875,3236.46875,5960.3125,149.76,18.35,1640576.79,15.2,4.5,21.8,15.5,2.1,17.7,5.4,0.8,7392.4,541501.8,5.75,46.599999999999994,1.1666666666666667,52.166666666666664,116131182.11416668,35516066.115,793156874.4416666,11384815.625,2351223033.225,53939251.0,368252669.38,2784799769.23,252887.25,13.0,24966.458333333332,27567.775,22251.399999999998,29534.00833333333,15260.6,308227.44166666665,33673.325,8081.983333333334,14645.425,7617.474999999999,1744.6416666666669,597971.6545454545,22478.091666666667,4218.908333333334,4798.716666666665,8792.4375,3922.691666666667,45137.3,769.3,0.7,5107.0,3453.0,1654.0,14.17,0.38,29248.0,27594.0,13.651662838424544
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),44.333333333333336,28856.5,99.33333333333333,43150.833333333336,101.3,141.92740740740734,132263.5027221983,5963.832876147446,9320.511764319182,12441.83282833716,22520.017875071717,82017.30737832283,124.82012345679016,14.646419753086418,290910.78,15.7,4.5,23.8,18.1,2.5,21.9,7.6,1.0,19320.4409382716,1480662.2,13.566666666666666,49.46666666666667,3.4000000000000004,47.1,620321168.3599999,46727878.16,167525828.845,13002333.925,218648828.27499998,53001253.010000005,701439790.755,986092205.965,249287.25,20.337349397590362,13624.266666666666,18064.266666666666,12875.7,12849.0,7435.666666666668,200735.33333333334,10222.833333333334,7450.333333333334,10988.266666666666,5098.733333333334,346.1,366681.9666666666,14273.166666666668,3042.7,3217.7999999999997,29603.3,2968.4666666666667,27058.3,160.1,9.7,8759.0,-3010.0,11769.0,31.92,1.07,53685.0,41916.0,13.04851365711342
Челябинская область,86.26315789473684,24744.833333333332,96.91666666666667,34139.5,100.55000000000001,320.25,218645.640625,10918.9375,15600.265625,19041.296875,34165.734375,138919.40625,121.8,27.65,189387.97,16.5,4.9,23.6,16.0,2.2,15.0,8.5,0.5,38493.577999999994,3477221.2,18.065384615384616,42.76666666666667,2.3333333333333335,54.93333333333334,819288691.2933334,76412017.53833334,26881976.949166667,38519361.3075,93129156.525,129556997.4725,1436463755.1,1697669270.405,157864.125,22.0,21516.941666666666,18666.683333333334,18338.85,17683.833333333336,10663.933333333332,249028.33333333334,20336.958333333332,7707.458333333332,12935.108333333334,8877.025,3132.666666666667,496950.0727272727,23207.158333333333,3061.1166666666663,3332.875,7385.7875,5683.916666666667,52937.21666666667,88.5,38.6,-24204.0,-27164.0,2960.0,17.35,2.35,89950.0,86990.0,11.070212616902252
Республика Алтай,34.1578947368421,19304.166666666668,99.95,29151.833333333332,103.38333333333333,16.0,21456.875,981.609375,1689.03125,2102.875,3680.453125,13002.90625,123.62,7.17,107821.5,9.3,4.2,19.5,14.4,2.4,33.4,9.1,1.8,3328.2,216748.3,32.926923076923075,45.666666666666664,4.233333333333333,50.06666666666666,2205491.6475,1567007.5183333333,658582.9916666667,465722.825,2061726.7750000001,2872515.9749999996,4156743.5625,9556709.1375,120897.125,17.0,33950.50833333333,27065.375,11117.516666666666,25420.30833333333,10298.283333333333,178625.39166666666,26521.591666666667,10135.400000000001,16854.449999999997,6159.191666666667,2122.175,427860.6984848485,21917.341666666667,2616.575,2806.1,14578.6375,2144.633333333333,25420.066666666666,92.9,2.4,605.0,51.0,554.0,70.86,0.15,12186.0,11632.0,15.355137733490874
Республика Тыва,56.73684210526316,16124.166666666666,100.78333333333332,34826.166666666664,102.7,59.47,20700.53125,1961.234375,2892.9375,4197.3125,5018.703125,6630.34375,88.15,10.6,92912.78,19.8,7.7,18.8,13.6,2.8,38.4,18.1,7.3,6735.395999999999,320669.0,45.31153846153846,45.9,5.000000000000001,49.1,638144.4,2526852.825,4063951.1833333336,334944.69999999995,22585844.675,4803955.2075000005,529174.255,28253918.8375,73183.75,20.0,17449.408333333333,9549.033333333333,4419.325,12129.083333333334,3768.358333333333,119516.80833333335,11704.375,3921.366666666667,8646.208333333334,8873.941666666666,858.9833333333333,286311.21893939393,21542.941666666666,1076.8833333333332,5219.099999999999,7959.7875,1308.1666666666667,37752.675,168.6,2.0,2241.0,3599.0,-1358.0,45.1,0.23,10746.0,12104.0,21.004200593134975
Республика Хакасия,31.36842105263158,21181.5,99.53333333333332,36441.666666666664,101.51666666666667,57.0,27450.625,1553.46875,2744.8125,3022.515625,4668.234375,15461.59375,120.76,15.88,184767.28,17.0,11.8,25.0,17.9,2.6,10.5,5.0,1.0,6284.796,534566.5,24.180769230769233,38.4,5.333333333333333,56.26666666666667,54853137.04999999,22088194.375,22013351.4,1881975.375,67074184.925000004,51917294.95,96731987.25,217605442.52499998,155407.875,20.0,17961.44166666667,19886.25,17937.249999999996,18750.275,12655.75,183098.55,29433.933333333334,8369.066666666666,13750.5,7249.808333333333,1848.1666666666665,446464.5037878788,22647.79166666667,3140.033333333333,1845.0416666666667,13349.45,2721.2083333333335,54021.533333333326,61.6,8.6,-3698.0,-3266.0,-432.0,29.86,0.36,21395.0,21827.0,11.756808554221037
Алтайский край,120.73684210526316,22480.833333333332,98.10000000000001,24598.0,101.66666666666667,164.56,173039.82539682538,7626.492063492064,13418.015873015873,15295.333333333334,25707.396825396827,110992.58730158731,156.23,27.68,114429.32,13.4,3.3,25.9,18.0,2.4,14.9,6.3,0.2,23795.194,2348123.3,28.965384615384615,39.6,5.133333333333334,55.26666666666667,171140594.6975,31793397.49,3823042.6750000003,9664880.375,7014632.824999999,45471965.17,337589826.13,399741304.42499995,147862.75,26.0,30359.533333333333,23152.049999999996,22918.050000000003,38707.9,12800.425,242160.4583333333,33311.1,14155.941666666666,14447.808333333334,9827.908333333335,1860.708333333333,533283.6174242424,18246.791666666668,4709.741666666667,3428.308333333333,9822.7,7213.758333333333,38480.23333333333,168.0,13.5,-28174.0,-24661.0,-3513.0,42.57,1.56,66800.0,70313.0,10.133707203535693
Красноярский край,116.52631578947368,29723.833333333332,99.78333333333332,44275.833333333336,102.69999999999999,294.97,180321.73015873015,10212.269841269841,15930.52380952381,19153.365079365078,32295.634920634922,102729.93650793651,143.08,23.28,337849.38,12.9,3.8,22.7,16.6,2.3,17.7,7.4,0.8,33650.596,2862169.5,19.426923076923078,39.9,5.866666666666667,54.199999999999996,603309307.8924999,96504783.02416666,197659218.3033333,30496693.88,679192366.95,172422240.635,1373671073.6525002,2255782375.1175003,187296.125,20.0,15108.666666666668,21076.25833333333,17995.324999999997,20356.675000000003,10460.975,193984.49166666667,20426.708333333332,11800.541666666666,13583.191666666666,6184.866666666667,1515.75,435303.13181818184,18801.125,4086.7916666666665,2790.4666666666667,10233.75,3945.1000000000004,48404.4,2366.8,1.2,-6730.0,-18626.0,11896.0,22.11,1.96,128021.0,116125.0,11.757024173446052
Иркутская область,99.63157894736842,24346.833333333332,99.2,40869.833333333336,101.58333333333333,293.88,207495.359375,13777.71875,20122.390625,22069.25,35097.984375,116428.015625,173.82,30.55,237599.41,16.0,4.1,21.3,16.3,2.4,17.2,7.8,0.9,30798.984000000004,2400229.4,23.253846153846155,38.8,5.766666666666667,55.4,293073267.6525,68071419.49916665,145517642.71416667,17268020.9,552957575.55,123274329.775,505605561.275,1199105487.5,146193.875,23.0,12075.375,18973.75,22021.233333333334,21931.558333333334,11236.95,236642.01666666666,25336.791666666668,8708.116666666665,11899.3,10977.925,1526.2333333333333,483720.5174242424,21796.975000000002,4291.916666666666,2535.3666666666663,12870.2375,3089.8,44110.941666666666,774.8,3.0,-17887.0,-15709.0,-2178.0,22.04,1.62,49305.0,51483.0,12.831683504918324
Кемеровская область - Кузбасс,50.36842105263158,23141.666666666668,97.95,35708.0,102.55000000000001,306.19,217762.640625,9815.59375,17102.921875,21095.21875,38417.6875,131331.21875,95.49,35.32,188432.1,11.5,3.1,23.3,16.3,2.4,11.3,2.7,0.1,26870.992,2689269.1,16.31153846153846,42.800000000000004,5.2,52.03333333333334,335224563.6558333,76303814.5025,381047955.59999996,32715991.5475,916654980.525,97795766.8425,620240616.1925,1667407355.2075,140707.875,22.0,17243.2,18390.675,21219.85,19690.875,11556.475000000002,207218.38333333333,17578.391666666666,11338.266666666666,14296.358333333334,7384.641666666667,2985.925,459882.0363636364,19443.216666666667,3329.8583333333336,3840.191666666666,10155.65,5055.183333333334,57562.375,95.7,27.2,-29174.0,-25987.0,-3187.0,13.92,1.79,59504.0,62691.0,9.991931264892754
Новосибирская область,73.78947368421052,28499.333333333332,100.16666666666667,34463.333333333336,102.06666666666668,216.78,180809.5,8273.375,14621.5,17623.828125,30126.796875,110164.0,69.42,26.21,196373.77,16.9,4.5,23.2,16.3,2.3,12.0,5.7,1.1,32891.38,2767578.2,25.04615384615385,37.06666666666667,7.8999999999999995,54.96666666666667,246190019.66833332,53247914.96333333,22823219.93416667,20796745.5375,67549565.975,64822280.66000001,526400823.5175,679569415.69,183977.625,21.0,20210.88333333333,14613.716666666665,11163.458333333334,16030.808333333334,6710.916666666666,240393.78333333333,14660.816666666668,7143.875,11272.541666666666,4384.541666666666,1072.9666666666667,438587.6984848485,20675.725,3288.525,5377.108333333334,5607.0,3093.3250000000003,45740.566666666666,177.8,15.6,-5544.0,-18916.0,13372.0,20.63,1.91,79455.0,66083.0,11.884535006093051
Омская область,73.78947368421052,25742.5,96.93333333333334,31826.166666666668,101.03333333333335,153.59,125380.171875,6064.3125,10129.75,12178.03125,21843.796875,75164.28125,71.78,11.12,178710.56,12.8,2.6,23.4,16.9,2.5,15.1,5.6,0.3,21452.794,1949135.6,19.111538461538462,42.6,5.7,51.70000000000001,482518826.6525,34218923.75333334,3886857.75,11134680.774999999,3121227.45,52907289.650000006,895609084.2225,962772282.0975001,171748.125,26.0,17089.38333333333,18944.466666666667,16258.225000000002,17603.808333333334,10322.0,205480.35,65530.566666666666,11311.883333333335,12631.666666666668,4283.075,2044.0749999999998,485945.50530303025,22832.35,3292.1083333333336,3496.5249999999996,12883.324999999999,2763.558333333333,44992.79166666667,141.1,13.3,-24127.0,-16486.0,-7641.0,26.95,1.29,42402.0,50043.0,11.006311720949531
Томская область,35.94736842105263,27370.5,97.01666666666667,40624.666666666664,101.18333333333334,88.62,60846.703125,3559.390625,5599.734375,6589.296875,10442.359375,34655.921875,87.95,14.22,252385.98,10.5,1.4,25.7,16.9,2.3,12.6,3.9,0.4,11818.0,1073811.5,18.376923076923077,39.56666666666667,4.8,55.666666666666664,103176370.95083334,23699064.350833338,112072039.27666666,8525704.075,176564442.0,35486983.277499996,185826651.87499997,406403781.3275,146623.75,20.0,13050.283333333333,20554.766666666666,18155.183333333334,19904.175,12399.341666666667,213581.21666666667,20278.575,6987.341666666666,13604.125,6558.275,1691.6750000000002,430332.75606060604,22204.38333333333,3256.233333333333,2087.758333333333,9190.375,5186.966666666667,30510.850000000006,314.4,3.4,-2035.0,-7117.0,5082.0,27.77,0.73,34925.0,29843.0,11.005656020633044
Республика Бурятия,66.6842105263158,24480.333333333332,98.14999999999999,34592.333333333336,101.13333333333334,88.22,73782.75,4420.75,7241.5625,8140.078125,13449.234375,40531.125,64.38,5.79,126111.24,17.6,5.0,22.7,17.2,2.4,26.4,11.2,2.6,13897.797999999999,981236.4,29.892307692307693,44.1,5.366666666666667,50.56666666666666,45124959.85750001,17679399.863333333,12972177.534166666,2294639.8575,34718663.175,26144253.657500003,74400145.8725,137557702.5625,180813.75,21.0,14773.074999999997,14836.675,10096.275,12327.1,8537.25,155908.76666666666,21200.708333333336,7069.416666666667,7926.7,7963.299999999999,677.0916666666667,322617.0098484848,11731.25,1782.4333333333334,2844.991666666667,6325.6625,2359.1916666666666,31708.733333333334,351.3,2.8,-2802.0,-1498.0,-1304.0,40.89,0.68,42032.0,43336.0,14.163557324208517
Забайкальский край,48.73684210526316,23932.666666666668,98.55,38373.5,101.86666666666666,137.25,77929.96875,4598.515625,7150.34375,8011.984375,12302.8125,45866.3125,129.83,7.47,141752.93,13.0,5.1,23.1,17.1,2.4,27.9,6.3,0.9,13754.6,1073020.3,34.40769230769231,38.6,8.066666666666666,53.36666666666667,14845914.415,18748407.846666668,35297500.10166667,3242204.3999999994,124267867.85,33936623.075,26805987.7625,188252683.0625,152557.0,23.0,17238.683333333334,17226.983333333334,13515.741666666669,17061.141666666666,5754.25,186731.65833333335,22792.958333333332,7968.700000000001,9890.5,6798.799999999999,1660.5499999999997,385781.44696969696,14918.233333333334,2689.725,6083.899999999999,10146.8125,3539.1166666666663,31915.708333333336,431.9,2.4,-10018.0,-4528.0,-5490.0,31.32,0.72,24225.0,29715.0,12.81858320853762
Республика Саха (Якутия),49.10526315789474,41844.833333333336,100.36666666666667,65881.33333333333,101.28333333333335,109.97,52263.5625,4241.078125,5531.953125,6986.3125,11519.0625,23985.15625,241.47,7.41,445547.97,14.7,3.2,23.5,16.5,2.2,25.8,7.6,1.1,13677.594000000001,966722.4,21.684615384615384,45.53333333333334,5.533333333333334,48.93333333333334,23318892.896666672,41471003.22916667,273380339.9508333,6149267.15,778524891.175,67625405.80250001,36594250.4725,888893814.55,228611.25,14.0,14732.191666666668,23397.558333333334,14944.183333333334,19282.100000000002,17060.608333333334,264111.69166666665,43181.25833333333,9072.391666666666,11101.900000000001,7298.125,1480.9416666666666,517226.8416666667,14689.716666666665,3719.2250000000004,2163.516666666667,5495.9125,2703.4333333333334,44384.425,3083.5,0.3,10144.0,1637.0,8507.0,33.04,0.68,56166.0,47659.0,14.148419442851434
Камчатский край,8.631578947368421,48132.0,100.41666666666667,70722.83333333333,102.88333333333333,35.5,13351.828125,846.6875,1196.953125,1557.046875,2265.78125,7485.359375,153.75,8.35,324625.06,21.7,5.1,23.9,15.9,2.2,22.0,11.7,2.0,3557.8,315619.4,20.115384615384617,41.199999999999996,2.0333333333333337,56.76666666666667,33731295.18749999,14685975.675833335,7508463.774999999,2800434.9,23851252.125,20883110.525,123604719.1,171139516.625,182542.625,14.0,17090.766666666666,19440.291666666664,14396.508333333335,19896.441666666666,6926.458333333334,284410.825,16551.491666666665,10922.816666666666,15517.5,3263.8583333333336,2179.475,518527.6431818182,24573.533333333333,3482.725,1494.033333333333,11550.275,3411.5,47208.99166666667,464.3,0.7,1037.0,-1392.0,2429.0,21.05,0.21,14410.0,11981.0,11.272437625824013
Приморский край,66.36842105263158,33902.0,99.06666666666666,41116.666666666664,101.73333333333333,209.75,108543.60317460318,5387.888888888889,9485.460317460318,12125.873015873016,17313.761904761905,64230.619047619046,100.48,32.43,214573.54,17.9,3.1,22.4,15.7,2.2,12.7,4.7,1.4,20172.598,1912368.9,25.407692307692308,38.86666666666667,6.0,55.133333333333326,118287729.42250001,46233333.16083333,11037085.479166664,9961084.045,22455433.7375,66199283.85,250033929.115,348649730.7475,206875.0,22.0,16752.733333333334,15888.841666666667,15065.041666666666,22540.491666666665,11308.308333333334,247249.79166666666,19387.341666666667,6212.616666666667,11562.916666666668,4824.541666666666,2136.508333333333,495195.74772727274,22015.166666666664,3202.925,1960.5583333333332,13327.35,3541.608333333333,65086.316666666666,164.7,11.3,-14833.0,-14523.0,-310.0,22.49,1.28,67999.0,68309.0,10.54848674855568
Хабаровский край,37.21052631578947,38567.666666666664,98.18333333333334,45182.333333333336,99.98333333333333,155.16,66536.79365079365,3574.5238095238096,5680.507936507936,7379.3650793650795,10021.587301587302,39880.80952380953,136.91,10.52,249471.19,15.5,6.0,23.3,15.4,2.2,14.0,9.5,0.2,15452.8,1325366.9,19.157692307692308,39.13333333333333,8.566666666666666,52.333333333333336,113031594.22666667,39711845.190000005,34151876.75416666,12990158.049999999,54872070.24999999,57531118.0,319078735.8125,444472082.1125,239648.375,21.0,13608.516666666666,14586.849999999999,10183.233333333334,17057.883333333335,5127.541666666667,229908.78333333333,16846.358333333334,5566.108333333334,11825.383333333333,4991.2750000000015,1570.7,436585.4234848485,21191.491666666665,2577.6916666666666,3176.6083333333336,7327.299999999999,2830.616666666667,50420.36666666666,787.6,1.6,-2149.0,-8650.0,6501.0,17.79,0.89,51883.0,45382.0,11.659262050380164
Амурская область,47.21052631578947,30861.5,98.94999999999999,41014.333333333336,102.11666666666667,104.22,64625.03125,3325.65625,5248.71875,6287.65625,10531.984375,39231.015625,119.93,25.68,196049.81,16.8,5.9,23.2,17.3,2.3,14.7,6.1,0.3,8893.6,798153.1,26.18846153846154,38.13333333333333,5.933333333333334,55.93333333333334,18996446.717499997,24265150.99166667,36611490.94166667,3183552.825,80939265.325,40325051.675,35828147.2,160276017.125,213437.75,24.0,15289.408333333333,16743.3,14918.008333333331,19558.266666666666,9857.791666666666,215469.30833333335,24647.233333333334,8481.474999999999,11531.491666666665,8021.941666666666,2681.1666666666665,440582.07954545453,19188.56666666667,2817.5250000000005,4227.875,8674.137499999999,3680.45,40439.75,361.9,2.1,-9321.0,-6977.0,-2344.0,31.95,0.53,22027.0,24371.0,11.142724372053433
Магаданская область,2.4285714285714284,58826.833333333336,100.88333333333333,82467.5,102.88333333333333,23.44,4995.8125,353.984375,583.515625,687.84375,979.484375,2390.984375,346.14,20.57,488520.87,15.7,4.1,23.7,13.8,1.9,16.4,11.4,0.0,1448.4,144493.1,17.915384615384617,36.233333333333334,8.766666666666667,55.0,3150958.4266666663,9093238.170833332,42944015.899166666,999898.1000000001,76366952.75,16682955.124999998,91562618.8175,185612424.7925,222502.5,12.0,36678.925,14644.325,11594.208333333332,17113.125,7377.625,229340.975,13131.525000000001,5582.183333333333,11897.416666666664,5062.758333333333,1439.7833333333333,440325.61893939396,27320.466666666667,2453.591666666667,2447.025,5746.325,3729.416666666667,48525.791666666664,462.5,0.3,-1267.0,-877.0,-390.0,3.86,0.09,6735.0,7125.0,10.024008066821184
Сахалинская область,8.947368421052632,53568.333333333336,101.16666666666667,75366.83333333333,103.86666666666667,57.19,21395.578125,1409.71875,2166.09375,2698.4375,3358.734375,11762.59375,315.03,29.8,860733.34,13.2,2.5,22.5,17.2,2.1,12.6,4.2,0.0,6112.994000000001,488523.1,18.892307692307693,38.06666666666666,7.599999999999999,54.300000000000004,25984076.21166667,14469981.263333334,397891352.45,3436313.85,846310542.275,18330060.9525,61498004.3,929574921.3774999,302835.625,13.0,32511.2,14217.9,17440.841666666667,18060.825,6627.966666666666,265325.8083333333,46636.53333333333,7199.799999999999,10181.2,6484.016666666666,2312.383333333333,513752.00303030305,25172.941666666666,3714.4916666666663,4428.208333333333,7250.637500000001,5187.641666666666,33516.3,87.1,5.6,-1444.0,-2149.0,705.0,17.3,0.33,17515.0,16810.0,12.513213807085071
Еврейская автономная область,12.947368421052632,24975.5,96.66666666666667,37558.166666666664,101.26666666666667,27.22,12550.859375,713.65625,1186.828125,1316.5,1840.703125,7493.171875,174.6,28.57,157024.0,13.1,4.6,20.1,13.8,2.2,20.9,3.5,0.5,1859.8,163231.6,22.21923076923077,33.9,9.266666666666667,56.833333333333336,3592082.265833333,2674946.4475,483803.4583333333,463655.725,12247185.225,4597385.475,6364508.75,23672735.175,149389.5,25.0,15334.433333333334,10478.416666666668,11608.274999999998,16149.583333333334,6057.316666666667,190548.40000000002,15823.458333333334,7255.25,8305.275,4831.241666666667,3832.7,375999.7984848485,24004.341666666667,2551.683333333333,3200.2833333333333,6832.9,2654.05,34392.48333333334,36.3,4.2,-2669.0,-1259.0,-1410.0,31.88,0.11,3536.0,4946.0,11.3936272143384
Чукотский автономный округ,7.578947368421052,75961.83333333333,101.53333333333335,97464.16666666667,102.73333333333333,8.31,1612.453125,174.78125,224.578125,277.0,389.203125,546.890625,486.02,2.85,724122.68,17.7,3.2,22.5,14.1,1.7,14.0,10.3,1.7,602.6,50072.0,11.938461538461537,32.63333333333333,0.9,33.13333333333333,650298.2499999999,7007433.116666666,36132855.218333334,507877.575,42658962.75,9914401.924999999,40664565.3,93745807.55000001,175740.0,7.0,12049.125,26731.433333333334,19987.0,22216.291666666664,12680.041666666666,341138.9583333333,30222.625,8900.974999999999,16226.708333333334,5643.516666666666,1148.575,614553.8234848485,17717.908333333333,3896.2,2530.4333333333334,9303.2625,6149.775,54553.541666666664,721.5,0.1,513.0,-38.0,551.0,28.06,0.03,5336.0,4785.0,12.034670075091867
